Serial,Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,City,State,Zip,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Leasing Company Name,Leasing Company Contact,Leasing Company Phone,Leasing Company Address,Leasing Company City State Zip,Owner Name,Owner Phone,Owner Address,Owner City State Zip,Property Manager Name,Property Manager Phone,Developer Name,Architect Name,Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Affordable Type,Days On Market,Cap Rate,Latitude,Longitude,Market Name,Market Segment,Parcel Number 1(Min),Parcel Number 2(Max),Primary Agent Name,PropertyID,Sewer,Star Rating,Water,Vacancy %
COOMWA,5th Ave @ Ocean Boulevard,Bay Shore Oceanfront Assemblage,,Downtown Myrtle Beach,Downtown Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,7750000,3.3712,,,0,,,-,,,,,,,,,,,,,,,National Bk Of Sc,8436261800,,,,,,,,TA-80,,,,,,817,,33.6881210,-78.8839600,Myrtle Beach/Conway,,18110-09-002,18111-06-006,,9251889,,2 Star,,
BPXQ5A,600 67th Ave N,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29572,Horry,Land,,Existing,,,,,,Y,1435000,10.2500,,,0,,,-,,,,,,,,,,,,,,,,,,,,,,,,RM-20,,,,,,1595,,33.7424775,-78.8292607,Myrtle Beach/Conway,,16515-12-002,16515-12-070,,8174036,,3 Star,,
C92AUA,101 S Cannon Rd,,,Greater Myrtle Beach,Greater Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,3900000,28.4400,,,0,,,-,,,,,,,,,,,,,,,Gja Investments Llc,,2300 Ocean Blvd,"Myrtle Beach, SC  29577",,,,,,"A2, RM8, RM12",,,,,,963,,33.6923329,-78.9005575,Myrtle Beach/Conway,,18105-11-027,18105-11-027,,9117791,,2 Star,,
CIFK2A,Carolina Forest Blvd,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,11500000,391.9300,,,0,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,,33.7648255,-78.8935813,Myrtle Beach/Conway,,16400-01-016,16400-01-016,,9465917,,2 Star,,
A5ERRA,Carolina Forest Blvd,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29579,Horry,Land,,Existing,,,,,,Y,20525252,115.0000,,,0,,,-,,,,,,,,,,Sperry Van Ness/ Founder Group,Van Watts,8434436999,2411 N Oak St Suite # 201,"Myrtle Beach, SC  295773173",Landbank Llc,,,,,,,,,Residential,,,,,,73,,33.7546111,-78.8882031,Myrtle Beach/Conway,,16400-01-013,16400-01-184,Van Watts,5561627,,2 Star,,
B4INPA,2255 Dick Pond Rd,,,Outlying Horry County,Outlying Horry County,Myrtle Beach,SC,29575,Horry,Land,,Existing,,,,,,Y,2450000,7.0000,,,0,,,-,,,,,,,,,,,,,,,"Ryan Companies US, Inc.",6124924000,50 S 10th St Suite # 300,"Minneapolis, MN  554032011",,,,,,HC,,,,,,1907,,33.6439449,-78.9737197,Myrtle Beach/Conway,,18500-02-088,18500-02-088,,7184593,,2 Star,,
CWIC1A,8550 Dick Pond Rd,4.22 Acres,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,498000,4.2200,,,0,,,-,,,,,,,,,,,,,,,Patricia Spillman,,,,,,,,,HC,,,,,,515,,33.7234984,-79.0234176,Myrtle Beach/Conway,,17000-07-005,17000-07-005,,9434923,,2 Star,,
BNJHCA,Forestbrook Rd @ Panther Parkway,Lot 1,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,1392500,4.1200,,,0,,,-,,,,,,,,,,,,,,,Wallace Leo Iii,,,,Tradd Commercial,8438399777,,,,NC,,,,,,1671,,33.7078179,-78.9861831,Myrtle Beach/Conway,,17127-01-039,17127-01-039,,6783270,,2 Star,,
B5D67A,2825 Forestbrook Rd,,,Socastee/Red Hill,Socastee/Red Hill,Myrtle Beach,SC,29588,Horry,Land,,Existing,,,,,,Y,235000,3.1500,,,0,,,-,,,,,,,,,,,,,,,Benton Michael G,,,,,,,,,,,,,,,742,,33.7020996,-78.9904845,Myrtle Beach/Conway,,17900-03-033,17900-03-033,,8019776,,2 Star,,
BEPTEA,Frontage Rd E,Vacant Land,,Downtown Myrtle Beach,Downtown Myrtle Beach,Myrtle Beach,SC,29577,Horry,Land,,Existing,,,,,,Y,2430000,6.7500,,,0,,,-,,,,,,,,,,,,,,,Hyatt Automotive Group II LLC,8436263657,922 Frontage Rd E,"Myrtle Beach, SC  29577",Coldwell Banker Commercial Chicora Real Estate,8432728700,,,,Highway Commercial,,,,,,1294,,33.7093314,-78.9091224,Myrtle Beach/Conway,,17300-02-001,17300-02-001,,6699170,,2 Star,,
